"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2007","Total cattle: female","Thousand","4250.1"
"Farm Animals in December","2007","Total sheep","Thousand","3530.5"
"Farm Animals in December","2007","Breeding sheep","Thousand","2744.7"
"Farm Animals in December","2007","Ewes","Thousand","2662.9"
"Farm Animals in December","2007","Ewes: 2 years and over","Thousand","2255.4"
"Farm Animals in December","2007","Ewes: under 2 years","Thousand","407.4"
"Farm Animals in December","2007","Rams","Thousand","81.9"
"Farm Animals in December","2007","Other sheep","Thousand","785.8"
"Farm Animals in December","2007","Total pigs","Thousand","1500.5"
"Farm Animals in December","2007","Breeding pigs","Thousand","160.2"
"Farm Animals in December","2007","Gilts in pig","Thousand","22"
"Farm Animals in December","2007","Sows in pig","Thousand","93.6"
"Farm Animals in December","2007","Other sows for breeding","Thousand","26.4"
"Farm Animals in December","2007","Gilts not yet served","Thousand","16.6"
"Farm Animals in December","2007","Boars","Thousand","1.6"
"Farm Animals in December","2007","Other pigs","Thousand","1340.2"
"Farm Animals in December","2007","Other pigs: 20kg and under 50kg","Thousand","398.4"
"Farm Animals in December","2007","Other pigs: 50kg and under 80kg","Thousand","304.8"
"Farm Animals in December","2007","Other pigs: 80kg and over","Thousand","201.3"
"Farm Animals in December","2007","Other pigs: under 20kg","Thousand","435.7"
"Farm Animals in December","2008","Total cattle","Thousand","6303.9"
"Farm Animals in December","2008","Cows","Thousand","2199.1"
"Farm Animals in December","2008","Dairy cows","Thousand","1024.1"
"Farm Animals in December","2008","Other cows","Thousand","1175"
"Farm Animals in December","2008","Bulls","Thousand","50.2"
"Farm Animals in December","2008","Cattle: 2 years and over","Thousand","502.1"
"Farm Animals in December","2008","Cattle male: 2 years and over","Thousand","224.8"
"Farm Animals in December","2008","Cattle female: 2 years and over","Thousand","277.3"
"Farm Animals in December","2008","Cattle: 1-2 years","Thousand","1632.3"
"Farm Animals in December","2008","Cattle male: 1-2 years","Thousand","803.6"
"Farm Animals in December","2008","Cattle female: 1-2 years","Thousand","828.7"
"Farm Animals in December","2008","Cattle: under 1 year","Thousand","1920.3"
"Farm Animals in December","2008","Cattle male: under 1 year","Thousand","952.2"
"Farm Animals in December","2008","Cattle female: under 1 year","Thousand","968"
"Farm Animals in December","2008","Total cattle: male","Thousand","2030.8"
"Farm Animals in December","2008","Total cattle: female","Thousand","4273.1"
"Farm Animals in December","2008","Total sheep","Thousand","3422.9"
"Farm Animals in December","2008","Breeding sheep","Thousand","2603"
"Farm Animals in December","2008","Ewes","Thousand","2527.3"
"Farm Animals in December","2008","Ewes: 2 years and over","Thousand","2117.8"
"Farm Animals in December","2008","Ewes: under 2 years","Thousand","409.5"
"Farm Animals in December","2008","Rams","Thousand","75.6"
"Farm Animals in December","2008","Other sheep","Thousand","820"
"Farm Animals in December","2008","Total pigs","Thousand","1510.7"
"Farm Animals in December","2008","Breeding pigs","Thousand","152.1"
"Farm Animals in December","2008","Gilts in pig","Thousand","18.4"
"Farm Animals in December","2008","Sows in pig","Thousand","90.8"
"Farm Animals in December","2008","Other sows for breeding","Thousand","25.6"
"Farm Animals in December","2008","Gilts not yet served","Thousand","16"
"Farm Animals in December","2008","Boars","Thousand","1.3"
"Farm Animals in December","2008","Other pigs","Thousand","1358.6"
"Farm Animals in December","2008","Other pigs: 20kg and under 50kg","Thousand","409.8"
"Farm Animals in December","2008","Other pigs: 50kg and under 80kg","Thousand","312.6"
"Farm Animals in December","2008","Other pigs: 80kg and over","Thousand","225.6"
"Farm Animals in December","2008","Other pigs: under 20kg","Thousand","410.7"
"Farm Animals in December","2009","Total cattle","Thousand","6231.7"
"Farm Animals in December","2009","Cows","Thousand","2157.3"
"Farm Animals in December","2009","Dairy cows","Thousand","1022.4"
"Farm Animals in December","2009","Other cows","Thousand","1134.9"
"Farm Animals in December","2009","Bulls","Thousand","48.8"
"Farm Animals in December","2009","Cattle: 2 years and over","Thousand","581.3"
"Farm Animals in December","2009","Cattle male: 2 years and over","Thousand","275.3"
"Farm Animals in December","2009","Cattle female: 2 years and over","Thousand","306"
"Farm Animals in December","2009","Cattle: 1-2 years","Thousand","1650.2"
"Farm Animals in December","2009","Cattle male: 1-2 years","Thousand","803.7"
"Farm Animals in December","2009","Cattle female: 1-2 years","Thousand","846.5"
"Farm Animals in December","2009","Cattle: under 1 year","Thousand","1794"
"Farm Animals in December","2009","Cattle male: under 1 year","Thousand","857.9"
"Farm Animals in December","2009","Cattle female: under 1 year","Thousand","936.1"
"Farm Animals in December","2009","Total cattle: male","Thousand","1985.7"
"Farm Animals in December","2009","Total cattle: female","Thousand","4246"
"Farm Animals in December","2009","Total sheep","Thousand","3182.6"
"Farm Animals in December","2009","Breeding sheep","Thousand","2440"
"Farm Animals in December","2009","Ewes","Thousand","2369.4"
"Farm Animals in December","2009","Ewes: 2 years and over","Thousand","1960.1"
"Farm Animals in December","2009","Ewes: under 2 years","Thousand","409.3"
"Farm Animals in December","2009","Rams","Thousand","70.6"
"Farm Animals in December","2009","Other sheep","Thousand","742.6"
"Farm Animals in December","2009","Total pigs","Thousand","1501.9"
"Farm Animals in December","2009","Breeding pigs","Thousand","159.8"
"Farm Animals in December","2009","Gilts in pig","Thousand","21.9"
