
Statistical table extracted on August 23, 2023 (20:19:15)
http://www.ine.pt



Geographic localization (Agrarian area);Category (cattle livestock);Cattle livestock (No.) by Geographic localization (Agrarian area) and Category (cattle livestock) -  Semi-annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Data reference period (1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2nd Semi-annual 2022;1st Semi-annual 2022;2nd Semi-annual 2021;1st Semi-annual 2021;2nd Semi-annual 2020;1st Semi-annual 2020;2nd Semi-annual 2019;1st Semi-annual 2019;2nd Semi-annual 2018;1st Semi-annual 2018;2nd Semi-annual 2017;1st Semi-annual 2017;2nd Semi-annual 2016;1st Semi-annual 2016;2nd Semi-annual 2015;2nd Semi-annual 2014;2nd Semi-annual 2013;2nd Semi-annual 2012;2nd Semi-annual 2011;2nd Semi-annual 2010;2nd Semi-annual 2009;2nd Semi-annual 2008;2nd Semi-annual 2007;2nd Semi-annual 2006;2nd Semi-annual 2005;2nd Semi-annual 2004;2nd Semi-annual 2003;2nd Semi-annual 2002;2nd Semi-annual 2001;2nd Semi-annual 2000;2nd Semi-annual 1999;2nd Semi-annual 1998;2nd Semi-annual 1997;2nd Semi-annual 1996;2nd Semi-annual 1995;2nd Semi-annual 1994;2nd Semi-annual 1993;2nd Semi-annual 1992;2nd Semi-annual 1991;2nd Semi-annual 1990;2nd Semi-annual 1989;2nd Semi-annual 1988;2nd Semi-annual 1987;2nd Semi-annual 1979;2nd Semi-annual 1972;2nd Semi-annual 1955;2nd Semi-annual 1940;2nd Semi-annual 1934;2nd Semi-annual 1925;2nd Semi-annual 1920;2nd Semi-annual 1906;2nd Semi-annual 1870;2nd Semi-annual 1852;
;;No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);
PT: Portugal;Total;1579;1680;1641;1723 *;1691;1751;1675;1712;1632;1722;1670;1722 &;1635;1664;1606;1549;1471;1498;1519;1503;1447;1495;1491;1452;1495;1488;1432;1422;1421;1397;1421;1409;1386;1389;1386;1363;1348;1336;1398;1367;1392;1359;1371;1374;1073;1074;973;906;768;741;703;520;606;
;Bovine animals less than 1 year old (calves);516;554;528;550 *;526;557;531;524;497;529;515;537 &;499;521;510;487;425;451;462;437;377;406;423;403;421;430;417;409;402;386;392;378;373;357;372;383;385;398;426;416;402;409;408;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
;Calves for slaughter;94;116;98;116 *;109;121;102;118;111;125;118;127 &;110;118;115;118;106;120;133;122;104;115;110;102;113;108;90;77;79;70;67;64;68;64;60;67;54;53;53;54;48;37;66;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
;Other calves;422;438;430;433 *;417;436;429;406;386;404;397;410 &;389;403;395;370;320;331;329;315;273;291;314;301;308;323;328;332;323;316;325;314;305;293;312;316;331;345;373;362;354;372;342;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
;Male;180;198;184;195 *;178;189;183;175;164;175;169;178 &;165;172;167;156;134;138;137;131;115;123;133;126;130;137;144;140;142;132;148;152;148;147;158;160;167;173;187;186;181;191;167;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
;Female;242;240;246;239 *;239;248;246;231;222;229;228;232 &;224;231;228;214;186;193;192;184;158;168;181;174;179;186;184;193;181;184;176;162;157;146;154;156;164;172;186;176;173;181;175;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
;Adult;1063;1126;1113;1174 *;1166;1193;1144;1188;1135;1193;1155;1185 &;1136;1143;1096;1061;1045;1047;1057;1066;1070;1089;1068;1049;1074;1058;1015;1013;1019;1011;1029;1031;1013;1032;1014;980;963;938;972;951;990;950;963;428;214;x x;x x;x x;x x;x x;x x;x x;x x;
