"Number of livestock by Municipality, Livestock, Type and Year"

"Municipality","Livestock","Number of livestock 2018","Number of livestock 2019","Number of livestock 2020","Number of livestock 2021","Number of livestock 2022"
"Delvinë","Milked sheep",28605,28605,28891,28926,28926
"Delvinë","Goats",10075,10075,12160,13478,13478
"Delvinë","Milked goats",8662,8662,8749,8780,8780
"Delvinë","Pigs",400,400,400,401,401
"Delvinë","Sows",45,45,45,45,45
"Delvinë","Equidae",820,820,791,804,804
"Delvinë","Poultry ",20000,20000,20000,21050,21050
"Delvinë","Laying hens",18000,18000,18360,19410,19410
"Delvinë","Turkeys",700,700,700,700,250
"Delvinë","Beehives",2000,2000,2040,2040,9476
"Devoll","Cattle",4052,3511,3500,3000,2900
"Devoll","Cows",3439,2729,2710,2500,2400
"Devoll","Sheep/Goats",26252,21625,21740,21400,21400
"Devoll","Sheep",18892,16100,16240,16000,16000
"Devoll","Milked sheep",16155,13310,13401,13000,13000
"Devoll","Goats",7360,5525,5500,5400,5400
"Devoll","Milked goats",6213,4700,4685,4600,4600
"Devoll","Pigs",720,806,710,710,650
"Devoll","Sows",23,23,22,22,22
"Devoll","Equidae",2695,2490,2400,2295,2295
"Devoll","Poultry ",33607,28700,28700,28700,25700
"Devoll","Laying hens",29180,24950,24950,24950,24950
"Devoll","Turkeys",..,0,0,0,0
"Devoll","Beehives",6790,7070,7070,9500,11000
"Dibër","Cattle",16800,15000,12000,10000,10000
"Dibër","Cows",11800,11000,10000,9600,9300
"Dibër","Sheep/Goats",98800,92000,58500,53700,54000
"Dibër","Sheep",66000,63000,43000,39000,39000
"Dibër","Milked sheep",52800,52000,38000,38000,37500
"Dibër","Goats",32800,29000,15500,14700,15000
"Dibër","Milked goats",26700,25000,15000,14000,14500
"Dibër","Pigs",100,100,100,100,100
"Dibër","Sows",15,0,0,0,0
"Dibër","Equidae",4600,4600,3500,3200,2500
"Dibër","Poultry ",130000,130000,132000,127000,121000
"Dibër","Laying hens",123000,125000,126000,124000,120000
"Dibër","Turkeys",..,0,0,0,0
"Dibër","Beehives",12900,13000,11000,13000,15000
"Dimal","Cattle",9150,7937,7143,5473,5392
"Dimal","Cows",6050,5752,5176,4290,4580
"Dimal","Sheep/Goats",46285,27239,25146,23318,22900
"Dimal","Sheep",39150,22924,21090,17900,17420
"Dimal","Milked sheep",26200,17910,16477,12013,11670
"Dimal","Goats",7135,4315,4056,5418,5480
"Dimal","Milked goats",4230,3657,3437,3630,3670
"Dimal","Pigs",502,310,291,267,258
"Dimal","Sows",25,22,20,21,19
"Dimal","Equidae",1720,1709,1605,1592,1470
"Dimal","Poultry ",163270,156100,148295,170684,177900
"Dimal","Laying hens",73350,74000,70300,136547,127110
"Dimal","Turkeys",18620,17800,16910,16000,15600
"Dimal","Beehives",2730,2675,2715,1862,1870
"Divjakë","Cattle",15665,15820,11000,10922,7996
"Divjakë","Cows",10662,10685,8301,7640,7520
"Divjakë","Sheep/Goats",44610,45450,34400,34140,32245
"Divjakë","Sheep",40710,41220,30000,29700,27297
"Divjakë","Milked sheep",30670,30910,23150,20700,21838
"Divjakë","Goats",3900,4230,4400,4440,4948
"Divjakë","Milked goats",3376,3410,3500,3260,3958
"Divjakë","Pigs",5950,4260,7000,6930,1898
"Divjakë","Sows",550,580,580,707,379
"Divjakë","Equidae",1280,1280,980,1941,883
"Divjakë","Poultry ",254390,255710,245710,254000,113521
"Divjakë","Laying hens",100640,101160,111160,110800,85000
"Divjakë","Turkeys",14780,15230,20000,22000,11000
"Divjakë","Beehives",1410,1450,2148,1960,2908
"Dropull","Cattle",1551,1450,600,500,501
"Dropull","Cows",1018,1000,500,400,416
"Dropull","Sheep/Goats",23998,23550,14500,14000,11731
"Dropull","Sheep",17622,16850,10000,10000,7638
"Dropull","Milked sheep",12775,12000,7800,7800,6427
"Dropull","Goats",6376,6700,4500,4000,4093
"Dropull","Milked goats",4470,4800,3000,3000,3453
"Dropull","Pigs",..,0,0,0,5
"Dropull","Sows",..,0,0,0,3
"Dropull","Equidae",358,340,280,280,84
"Dropull","Poultry ",29540,29500,26000,26000,23400
"Dropull","Laying hens",39340,29300,25000,25000,21000
"Dropull","Turkeys",10,10,25,25,0
"Dropull","Beehives",2995,3000,2800,3000,2726
"Durrës","Cattle",14632,10640,10112,7911,9510
"Durrës","Cows",10042,7945,7260,7365,8650
"Durrës","Sheep/Goats",29475,28658,25500,22945,25030
"Durrës","Sheep",22890,21310,18600,16521,17050
"Durrës","Milked sheep",19480,16590,14553,14621,15200
"Durrës","Goats",6585,7348,6900,6424,7980
"Durrës","Milked goats",5660,5677,5420,5437,7290
"Durrës","Pigs",3725,3460,3040,3090,3000
"Durrës","Sows",312,199,220,220,215
"Durrës","Equidae",736,761,757,757,860
"Durrës","Poultry ",996540,987480,955900,886644,785663
"Durrës","Laying hens",760360,863400,845600,854236,698463
"Durrës","Turkeys",11250,12500,12000,12000,11000
"Durrës","Beehives",5275,6195,6329,7273,8250
"Elbasan","Cattle",16642,13750,12000,9035,8095
"Elbasan","Cows",11750,11000,10000,8500,7020
"Elbasan","Sheep/Goats",63300,50900,44400,36470,40400
"Elbasan","Sheep",31300,25300,22300,18240,19810
"Elbasan","Milked sheep",20300,18800,16500,13340,15260
"Elbasan","Goats",32000,25600,22100,18230,20590
"Elbasan","Milked goats",24300,20500,17800,14000,17160
"Elbasan","Pigs",1100,1350,1350,1640,1298
"Elbasan","Sows",95,90,86,86,77
"Elbasan","Equidae",3820,2450,2419,2419,2071
"Elbasan","Poultry ",285200,258800,248000,248000,248000
"Elbasan","Laying hens",170000,142800,136000,136000,136000
"Elbasan","Turkeys",20450,20450,20450,20450,20450
"Elbasan","Beehives",7000,7500,11000,11340,11840
"Fier","Cattle",18688,18578,17500,17178,12496
"Fier","Cows",13893,13270,13000,11961,11754
"Fier","Sheep/Goats",155310,143280,113000,112282,60544
"Fier","Sheep",135343,124200,95000,94150,52073
"Fier","Milked sheep",65432,62100,50000,44687,41658
"Fier","Goats",19967,19080,18000,18132,8471
"Fier","Milked goats",16649,15900,15000,13976,6776
"Fier","Pigs",10196,10000,12000,11858,7911
"Fier","Sows",1030,2580,1500,1825,1928
"Fier","Equidae",2893,2580,2100,1592,2007
"Fier","Poultry ",640347,446000,446000,443857,664306
"Fier","Laying hens",141395,145000,145000,144710,148000
"Fier","Turkeys",47560,47560,48000,48500,51000
"Fier","Beehives",7600,7450,7900,10270,20191
"Finiq","Cattle",2627,2627,2311,2311,2311
"Finiq","Cows",1911,1911,1681,1535,1535
"Finiq","Sheep/Goats",43807,43807,41038,38762,38762
"Finiq","Sheep",30720,30720,34720,31040,31040
"Finiq","Milked sheep",24728,24728,24975,25030,25030
"Finiq","Goats",13087,13087,6318,7722,7722
"Finiq","Milked goats",3905,4500,4545,4576,4576
"Finiq","Pigs",761,761,761,762,762
"Finiq","Sows",61,61,61,60,60
"Finiq","Equidae",558,558,517,562,562
"Finiq","Poultry ",29631,29631,37431,38000,38000
"Finiq","Laying hens",24111,24111,31815,32384,32384
"Finiq","Turkeys",2020,2020,2020,2020,2020
"Finiq","Beehives",5446,5446,5500,5500,9230
"Fushë-Arrëz","Cattle",3300,3030,3416,3196,3186
"Fushë-Arrëz","Cows",2500,2340,2430,2360,2342
"Fushë-Arrëz","Sheep/Goats",14700,13770,18886,19453,19411
"Fushë-Arrëz","Sheep",6200,5830,3535,3641,3622
"Fushë-Arrëz","Milked sheep",4775,4235,3060,3152,3133
"Fushë-Arrëz","Goats",8500,7940,15351,15812,15789
"Fushë-Arrëz","Milked goats",6200,5840,14150,14575,14565
"Fushë-Arrëz","Pigs",3230,3230,1950,2009,1988
"Fushë-Arrëz","Sows",105,105,105,108,101
"Fushë-Arrëz","Equidae",469,469,237,244,236
