"Number of livestock by Municipality, Livestock, Type and Year"

"Municipality","Livestock","Number of livestock 2018","Number of livestock 2019","Number of livestock 2020","Number of livestock 2021","Number of livestock 2022"
"Maliq","Sows",228,228,230,210,210
"Maliq","Equidae",3233,3233,3230,3200,3200
"Maliq","Poultry ",103691,103691,103200,103200,103200
"Maliq","Laying hens",88638,88638,88000,88000,88000
"Maliq","Turkeys",..,0,0,0,0
"Maliq","Beehives",8498,8498,8500,10000,12200
"Mallakastër","Cattle",3030,2800,2600,2580,1287
"Mallakastër","Cows",2114,2000,1800,1650,1210
"Mallakastër","Sheep/Goats",40945,52180,45300,45064,24579
"Mallakastër","Sheep",24900,37300,37300,37000,14922
"Mallakastër","Milked sheep",19075,18650,18700,16700,11937
"Mallakastër","Goats",16045,14880,8000,8064,9657
"Mallakastër","Milked goats",12655,12400,7000,6500,7725
"Mallakastër","Pigs",..,0,0,0,33
"Mallakastër","Sows",..,0,0,0,5
"Mallakastër","Equidae",1554,1480,1400,1065,1431
"Mallakastër","Poultry ",93800,94000,97000,96300,69351
"Mallakastër","Laying hens",73200,73000,76000,75500,57000
"Mallakastër","Turkeys",8540,8540,9000,9200,6600
"Mallakastër","Beehives",3445,350,3500,4576,5234
"Mat","Cattle",9500,8500,7000,6800,6800
"Mat","Cows",7000,7000,6400,6400,6400
"Mat","Sheep/Goats",41100,38000,30000,26400,25000
"Mat","Sheep",26100,23000,16000,14800,14500
"Mat","Milked sheep",21100,19000,14800,14600,13200
"Mat","Goats",15000,15000,14000,11600,10500
"Mat","Milked goats",11100,11000,12000,11000,9900
"Mat","Pigs",2800,2800,2900,2750,1400
"Mat","Sows",200,200,200,200,100
"Mat","Equidae",750,750,1200,1110,1300
"Mat","Poultry ",67600,68000,58000,55000,60000
"Mat","Laying hens",59800,61000,48000,48000,50200
"Mat","Turkeys",200,4000,0,500,1500
"Mat","Beehives",2600,3000,5200,6173,6800
"Memaliaj","Cattle",3200,3000,1900,1700,1835
"Memaliaj","Cows",2330,2200,1800,1500,1339
"Memaliaj","Sheep/Goats",65800,61000,34000,33000,38100
"Memaliaj","Sheep",44400,42000,23000,20000,25706
"Memaliaj","Milked sheep",32000,30000,19000,17000,19864
"Memaliaj","Goats",21400,19000,11000,13000,12394
"Memaliaj","Milked goats",13200,12000,9000,11000,9905
"Memaliaj","Pigs",..,0,0,0,8
"Memaliaj","Sows",..,0,0,0,3
"Memaliaj","Equidae",1700,1650,1500,1500,727
"Memaliaj","Poultry ",58000,57000,60000,60000,12600
"Memaliaj","Laying hens",38000,38000,40000,40000,10000
"Memaliaj","Turkeys",11750,12000,12000,12000,0
"Memaliaj","Beehives",2600,2550,2500,2800,1710
"Mirditë","Cattle",4240,4240,3800,3500,3450
"Mirditë","Cows",3000,3000,3005,2940,2940
"Mirditë","Sheep/Goats",35000,34700,31000,29200,29300
"Mirditë","Sheep",9000,8500,7200,7300,7300
"Mirditë","Milked sheep",5900,5400,6410,6550,6550
"Mirditë","Goats",26000,26200,23800,21900,22000
"Mirditë","Milked goats",17300,17300,17000,17050,17100
"Mirditë","Pigs",11000,11000,6200,6200,6200
"Mirditë","Sows",140,70,70,70,70
"Mirditë","Equidae",600,473,434,430,420
"Mirditë","Poultry ",50000,50000,45000,46000,46000
"Mirditë","Laying hens",40000,40000,40020,40050,40100
"Mirditë","Turkeys",..,0,0,0,0
"Mirditë","Beehives",5000,5000,7000,7100,7150
"Patos","Cattle",1681,1162,920,1100,984
"Patos","Cows",891,830,690,625,925
"Patos","Sheep/Goats",6339,5668,5160,5126,3501
"Patos","Sheep",5002,4360,4360,4320,2780
"Patos","Milked sheep",2319,2180,1900,1700,2224
"Patos","Goats",1337,1308,800,806,721
"Patos","Milked goats",1159,1090,650,605,576
"Patos","Pigs",200,1170,1400,1385,1504
"Patos","Sows",25,130,135,164,188
"Patos","Equidae",464,420,380,290,295
"Patos","Poultry ",26320,30000,30000,29800,39038
"Patos","Laying hens",16650,16650,16650,16600,16800
"Patos","Turkeys",5080,5100,5000,5200,5500
"Patos","Beehives",954,1000,1000,1307,2545
"Peqin","Cattle",6700,3500,2500,2500,2200
"Peqin","Cows",4650,2800,2100,2100,1800
"Peqin","Sheep/Goats",21800,17650,13000,11700,9300
"Peqin","Sheep",12500,9450,6200,5900,5400
"Peqin","Milked sheep",8000,7000,4800,4500,4100
"Peqin","Goats",9300,8200,6800,5800,3900
"Peqin","Milked goats",7000,6500,5700,4500,3200
"Peqin","Pigs",200,405,420,550,120
"Peqin","Sows",20,27,27,27,7
"Peqin","Equidae",1200,2060,1215,1215,780
"Peqin","Poultry ",228000,177500,134500,134500,134400
"Peqin","Laying hens",122000,90000,61000,61000,61000
"Peqin","Turkeys",51000,51300,52000,52000,52000
"Peqin","Beehives",1880,1800,1800,1900,1600
"Përmet","Cattle",1605,1600,1400,1100,922
"Përmet","Cows",1348,1340,1100,1000,841
"Përmet","Sheep/Goats",36723,37000,33000,33000,27819
"Përmet","Sheep",15523,15000,13500,13000,12318
"Përmet","Milked sheep",12234,12200,12000,10000,9887
"Përmet","Goats",21200,22000,19500,20000,15501
"Përmet","Milked goats",17032,17500,14500,18000,14102
"Përmet","Pigs",450,400,450,260,46
"Përmet","Sows",50,50,60,26,0
"Përmet","Equidae",958,900,800,800,629
"Përmet","Poultry ",13000,13000,12500,12500,11250
"Përmet","Laying hens",9000,10000,10000,10000,10000
"Përmet","Turkeys",..,0,0,0,0
"Përmet","Beehives",5000,5000,5000,5500,8395
"Pogradec","Cattle",8794,8420,8400,8400,8400
"Pogradec","Cows",6907,6300,6300,6300,6300
"Pogradec","Sheep/Goats",79256,84566,84300,84300,84300
"Pogradec","Sheep",52416,57170,57000,57000,57000
"Pogradec","Milked sheep",39264,39264,39200,39200,39200
"Pogradec","Goats",26840,27396,27300,27300,27300
"Pogradec","Milked goats",21934,21394,21380,21380,21380
"Pogradec","Pigs",1403,1403,1400,1400,1300
"Pogradec","Sows",245,245,240,240,240
"Pogradec","Equidae",4090,4400,4300,4300,4300
"Pogradec","Poultry ",82659,80945,81000,81000,81000
"Pogradec","Laying hens",66957,67987,68000,68000,68000
"Pogradec","Turkeys",..,0,0,0,0
"Pogradec","Beehives",10974,13680,13700,16000,18000
"Poliçan","Cattle",2680,2453,2207,2060,2005
"Poliçan","Cows",1900,1778,1600,1654,1700
"Poliçan","Sheep/Goats",38100,34969,32393,35986,31569
"Poliçan","Sheep",25150,23862,21953,21243,16833
"Poliçan","Milked sheep",18750,18570,17084,14233,11270
"Poliçan","Goats",12950,11107,10440,14743,14736
"Poliçan","Milked goats",9720,9453,8885,9878,9800
"Poliçan","Pigs",55,45,42,95,130
"Poliçan","Sows",5,4,4,7,3
"Poliçan","Equidae",1000,994,933,978,800
"Poliçan","Poultry ",35040,37700,35815,32085,30700
"Poliçan","Laying hens",27500,28000,26600,27913,26450
"Poliçan","Turkeys",3800,4100,3895,3700,3500
"Poliçan","Beehives",470,460,466,1391,1570
"Prrenjas","Cattle",5714,3750,2800,1300,2650
"Prrenjas","Cows",3380,2700,2200,1100,2080
"Prrenjas","Sheep/Goats",30500,27300,19000,16000,13000
"Prrenjas","Sheep",18500,16900,11500,9200,8200
"Prrenjas","Milked sheep",12000,11000,8200,7000,6300
"Prrenjas","Goats",12000,10400,7500,6800,4800
"Prrenjas","Milked goats",8100,7500,6200,5200,4000
"Prrenjas","Pigs",..,0,0,0,240
"Prrenjas","Sows",..,0,0,0,15
"Prrenjas","Equidae",1240,966,585,585,480
"Prrenjas","Poultry ",52700,60830,70000,70000,60000
"Prrenjas","Laying hens",32000,38250,39000,39000,36000
"Prrenjas","Turkeys",400,810,700,700,700
"Prrenjas","Beehives",1770,1800,1050,1050,2050
"Pukë","Cattle",4087,3620,3282,3122,3118
"Pukë","Cows",3080,2840,2642,2382,2361
"Pukë","Sheep/Goats",19030,17380,16085,16567,16560
"Pukë","Sheep",6300,5640,3410,3512,3498
"Pukë","Milked sheep",4845,4120,3020,3111,3096
"Pukë","Goats",12730,11740,12675,13055,13062
"Pukë","Milked goats",9225,9030,11372,11713,11728
"Pukë","Pigs",4293,4293,1582,1629,1602
"Pukë","Sows",135,135,125,129,120
"Pukë","Equidae",479,479,283,291,285
"Pukë","Poultry ",27000,27000,24690,25431,25420
"Pukë","Laying hens",22500,22500,23500,25431,25220
"Pukë","Turkeys",..,0,0,0,0
"Pukë","Beehives",4000,4000,3650,3760,3742
"Pustec","Cattle",1745,1745,1750,1750,1750
"Pustec","Cows",1483,1483,1500,1500,1500
"Pustec","Sheep/Goats",6850,6850,6900,6900,6900
"Pustec","Sheep",4880,4880,4900,4900,4900
"Pustec","Milked sheep",3410,3410,3450,3450,3450
"Pustec","Goats",1970,1970,2000,2000,2000
"Pustec","Milked goats",1650,1650,1660,1660,1660
"Pustec","Pigs",230,230,235,235,235
"Pustec","Sows",0,0,0,0,0
"Pustec","Equidae",600,600,590,533,533
"Pustec","Poultry ",4890,4890,4910,4910,4910
"Pustec","Laying hens",4100,4100,4120,4120,4120
"Pustec","Turkeys",..,0,0,0,0
"Pustec","Beehives",750,750,750,750,800
"Roskovec","Cattle",6105,5740,5530,5460,4093
"Roskovec","Cows",4252,4100,3980,3648,3849
"Roskovec","Sheep/Goats",22373,21012,21012,20870,9526
"Roskovec","Sheep",19850,18600,18600,18440,8024
"Roskovec","Milked sheep",9780,9300,9300,8300,6419
"Roskovec","Goats",2523,2412,2412,2430,1502
"Roskovec","Milked goats",2117,2010,2010,1870,1201
"Roskovec","Pigs",492,180,180,178,799
"Roskovec","Sows",20,20,20,24,41
"Roskovec","Equidae",739,650,550,420,1230
"Roskovec","Poultry ",59340,60000,60000,58443,93562
"Roskovec","Laying hens",46080,46000,46000,45900,46000
"Roskovec","Turkeys",5420,5550,6000,6000,9000
"Roskovec","Beehives",1004,1000,1000,1307,1199
"Rrogozhinë","Cattle",6620,6020,5140,4940,3018
"Rrogozhinë","Cows",4440,3950,3800,3710,2727
"Rrogozhinë","Sheep/Goats",29720,25930,18370,16607,14490
"Rrogozhinë","Sheep",19120,16400,12500,11468,10380
"Rrogozhinë","Milked sheep",15330,11800,10810,10624,9476
"Rrogozhinë","Goats",10600,9530,5870,5139,4110
"Rrogozhinë","Milked goats",7990,6150,4658,4658,3738
"Rrogozhinë","Pigs",980,980,177,177,0
"Rrogozhinë","Sows",215,215,20,20,0
"Rrogozhinë","Equidae",1458,1478,885,895,735
"Rrogozhinë","Poultry ",175800,175800,120968,75874,76445
"Rrogozhinë","Laying hens",131100,131100,93000,57300,54650
"Rrogozhinë","Turkeys",3710,3710,3710,3710,3710
"Rrogozhinë","Beehives",4420,4520,5391,5466,5283
"Sarandë","Cattle",2226,2226,1958,1958,1958
"Sarandë","Cows",1692,1692,1488,1420,1420
"Sarandë","Sheep/Goats",25643,25643,28392,28210,28210
"Sarandë","Sheep",17661,17661,19770,18650,18650
"Sarandë","Milked sheep",14223,14223,14223,14240,14240
"Sarandë","Goats",7982,7982,8622,9560,9560
"Sarandë","Milked goats",6203,6203,6203,6225,6225
"Sarandë","Pigs",541,541,541,537,537
"Sarandë","Sows",52,52,52,54,54
"Sarandë","Equidae",104,104,98,101,101
"Sarandë","Poultry ",12805,12805,25805,26124,26124
"Sarandë","Laying hens",10594,10594,23028,23347,23347
"Sarandë","Turkeys",..,0,0,0,..
"Sarandë","Beehives",1945,1945,1964,1970,5548
"Selenicë","Cattle",5354,5404,4755,4755,4755
"Selenicë","Cows",4898,4933,4341,4141,4141
"Selenicë","Sheep/Goats",148961,159726,167584,164217,164217
"Selenicë","Sheep",119942,125242,135698,129662,129662
"Selenicë","Milked sheep",91410,95710,97624,97387,97387
"Selenicë","Goats",29019,34484,31886,34555,34555
"Selenicë","Milked goats",18025,22490,22940,23020,23020
"Selenicë","Pigs",1670,1670,1670,1720,1720
"Selenicë","Sows",160,160,160,161,161
"Selenicë","Equidae",2255,2255,2052,2132,2132
"Selenicë","Poultry ",87000,87000,89000,87000,87000
"Selenicë","Laying hens",65400,65400,68362,79100,79100
"Selenicë","Turkeys",11850,11850,11850,5000,4980
"Selenicë","Beehives",5250,5250,5408,5400,15076
"Shijak","Cattle",4263,3690,3460,3045,1672
"Shijak","Cows",3225,3395,2907,2859,1520
"Shijak","Sheep/Goats",4317,4062,3990,3538,2860
"Shijak","Sheep",3254,3050,2950,2616,2340
"Shijak","Milked sheep",2785,2500,2416,2406,2050
"Shijak","Goats",1063,1012,1040,922,520
"Shijak","Milked goats",979,923,860,843,450
"Shijak","Pigs",250,250,650,650,590
"Shijak","Sows",60,60,60,60,55
"Shijak","Equidae",655,657,657,657,384
"Shijak","Poultry ",90279,122140,131840,91840,137660
"Shijak","Laying hens",83000,70340,80000,80340,87740
"Shijak","Turkeys",4550,1450,1480,1480,1480
"Shijak","Beehives",1404,1405,1404,1855,950
"Shkodër","Cattle",17750,17220,12700,12230,12160
"Shkodër","Cows",13390,13010,11350,11020,10980
"Shkodër","Sheep/Goats",41700,39350,40479,41692,41648
"Shkodër","Sheep",28000,26500,24024,24744,24722
"Shkodër","Milked sheep",21050,20050,21650,22299,22286
"Shkodër","Goats",13700,12850,16455,16948,16926
"Shkodër","Milked goats",10800,10020,14450,14884,14865
"Shkodër","Pigs",15515,15600,7610,7838,7795
"Shkodër","Sows",880,850,750,773,768
"Shkodër","Equidae",1000,1080,1712,1763,1756
"Shkodër","Poultry ",288670,288670,263435,267105,266980
"Shkodër","Laying hens",219600,219600,233431,265920,265620
"Shkodër","Turkeys",1200,1200,1150,1150,1150
"Shkodër","Beehives",12200,12200,38574,37622,37510
"Skrapar","Cattle",3650,3446,3101,2184,2153
"Skrapar","Cows",2600,2553,2297,1743,1830
"Skrapar","Sheep/Goats",94470,85815,79626,65280,68435
"Skrapar","Sheep",53900,52000,47840,40664,43835
"Skrapar","Milked sheep",41600,41271,37969,27244,29360
"Skrapar","Goats",40570,33815,31786,24616,24600
"Skrapar","Milked goats",29820,29151,27401,16493,16400
"Skrapar","Pigs",46,38,35,30,25
"Skrapar","Sows",0,0,0,0,0
"Skrapar","Equidae",1985,1996,1875,1897,1230
"Skrapar","Poultry ",65020,64030,60828,57787,53790
"Skrapar","Laying hens",39600,39350,37382,46229,43000
"Skrapar","Turkeys",930,970,921,820,630
"Skrapar","Beehives",10550,9985,10134,10657,10420
"Tepelenë","Cattle",4700,4500,3800,2900,3029
"Tepelenë","Cows",2820,2800,2000,2400,2286
"Tepelenë","Sheep/Goats",93200,89000,61000,57000,50747
"Tepelenë","Sheep",67100,64000,44000,40000,37040
"Tepelenë","Milked sheep",49000,46000,35000,34000,29168
"Tepelenë","Goats",26100,25000,17000,17000,13707
"Tepelenë","Milked goats",19000,18000,15000,15000,10577
"Tepelenë","Pigs",50,70,70,70,141
"Tepelenë","Sows",10,10,10,7,32
"Tepelenë","Equidae",1470,1380,1200,1200,395
"Tepelenë","Poultry ",15000,15000,14000,14000,54000
"Tepelenë","Laying hens",11000,11000,10000,10000,48000
"Tepelenë","Turkeys",2850,3000,3000,3000,0
"Tepelenë","Beehives",2500,2500,2400,3500,2757
"Tiranë","Cattle",20638,19935,19475,19512,15079
"Tiranë","Cows",16716,16215,15737,15750,14678
"Tiranë","Sheep/Goats",65325,64855,64018,66729,30658
"Tiranë","Sheep",30585,30015,28920,29828,12209
"Tiranë","Milked sheep",25167,24570,23867,23997,11039
"Tiranë","Goats",34740,34840,35098,36901,18449
"Tiranë","Milked goats",28614,28335,27813,28113,16762
"Tiranë","Pigs",1480,1480,1575,1416,310
"Tiranë","Sows",83,83,70,40,30
"Tiranë","Equidae",2897,2897,3309,3214,1704
"Tiranë","Poultry ",264210,264410,283334,296500,294030
"Tiranë","Laying hens",204550,204930,224100,251100,251500
"Tiranë","Turkeys",7425,7500,7590,8190,8210
"Tiranë","Beehives",11626,12170,16339,19314,20197
"Tropojë","Cattle",13200,8370,8586,8807,8900
"Tropojë","Cows",9050,7200,7400,7450,7500
"Tropojë","Sheep/Goats",30200,14040,14777,15806,16176
"Tropojë","Sheep",22000,9979,10537,10917,11300
"Tropojë","Milked sheep",10500,8500,9000,9200,10200
"Tropojë","Goats",8200,4061,4240,4889,4876
"Tropojë","Milked goats",6300,3500,3600,3850,4200
"Tropojë","Pigs",1700,1700,706,725,700
"Tropojë","Sows",250,250,120,130,200
"Tropojë","Equidae",1580,1430,1076,1089,1000
"Tropojë","Poultry ",37750,37750,38646,39849,40600
"Tropojë","Laying hens",27500,27500,28500,29200,30000
"Tropojë","Turkeys",..,0,0,0,0
"Tropojë","Beehives",7350,7500,13158,15980,19569
"Vau-Dejës","Cattle",9775,9435,7285,6830,6810
"Vau-Dejës","Cows",7360,7010,6540,6102,6073
"Vau-Dejës","Sheep/Goats",23820,22650,15220,15677,15655
"Vau-Dejës","Sheep",11820,11330,8565,8822,8810
"Vau-Dejës","Milked sheep",10450,10140,7950,8189,8158
"Vau-Dejës","Goats",12000,11320,6655,6855,6845
"Vau-Dejës","Milked goats",9700,9310,6050,6232,6222
"Vau-Dejës","Pigs",17455,17455,14665,15105,15095
"Vau-Dejës","Sows",1080,1080,1050,1082,1062
"Vau-Dejës","Equidae",860,860,532,545,541
"Vau-Dejës","Poultry ",126320,126320,123884,125077,125058
"Vau-Dejës","Laying hens",93500,93500,113890,122753,122728
"Vau-Dejës","Turkeys",2300,2300,2256,2256,2256
"Vau-Dejës","Beehives",4100,4100,6222,6120,6115
"Vlorë","Cattle",6985,7135,6278,6278,6278
"Vlorë","Cows",6531,6636,5839,5637,5637
"Vlorë","Sheep/Goats",81607,86807,83328,83198,83198
"Vlorë","Sheep",58830,61830,55412,52258,52258
"Vlorë","Milked sheep",36970,39470,39865,39913,39913
"Vlorë","Goats",22777,24977,27916,30940,30940
"Vlorë","Milked goats",18085,19885,20084,20124,20124
"Vlorë","Pigs",750,750,758,751,751
"Vlorë","Sows",70,70,76,75,75
"Vlorë","Equidae",1370,1370,1309,1169,1169
"Vlorë","Poultry ",186900,186900,186900,184478,184478
"Vlorë","Laying hens",159500,159500,156966,119844,119844
"Vlorë","Turkeys",14950,14950,14950,14950,13950
"Vlorë","Beehives",4250,4250,4378,4380,17239
"Vorë","Cattle",2925,2925,2790,2360,1117
"Vorë","Cows",2190,2190,2097,2097,1015
"Vorë","Sheep/Goats",4945,4560,4160,3240,2084
"Vorë","Sheep",2420,2010,1790,1862,1175
"Vorë","Milked sheep",1880,1540,1430,1440,1067
"Vorë","Goats",2525,2550,2370,1378,909
"Vorë","Milked goats",2030,2060,1900,1158,826
"Vorë","Pigs",150,0,0,0,0
"Vorë","Sows",30,0,0,0,0
"Vorë","Equidae",144,144,352,350,20
"Vorë","Poultry ",31500,31500,31671,32330,31230
"Vorë","Laying hens",27160,27160,27200,27200,28500
"Vorë","Turkeys",730,730,910,910,930
"Vorë","Beehives",2060,2190,2780,3163,3180
