year,species,population,source,
2017,Cattle and calves,93648041,USDA
2012,Cattle and calves,89994614,USDA
2017,Hogs and pigs,72381007,USDA
2012,Hogs and pigs,66026785,USDA
2017,Sheep and lambs,5391252,USDA
2012,Sheep and lambs,5364844,USDA
2017,Layers,368241393,USDA
2012,Layers,350715978,USDA
2017,Pullets for laying flock replacement,130530985,USDA
2012,Pullets for laying flock replacement,110297133,USDA
2017,Broilers and other meat type chickens,1621400316,USDA
2012,Broilers and other meat type chickens,1506276846,USDA
2007,Cattle and calves,96347858,USDA
2002,Cattle and calves,95497994,USDA
2007,Cows and heifers that had calved,42101375,USDA
2002,Cows and heifers that had calved,42502230,USDA
2007,Beef cows,32834801,USDA
2002,Beef cows,33398271,USDA
2007,Total hogs and pigs,67786318,USDA
2002,Total hogs and pigs,60405103,USDA
2007,Hogs and pigs used or to be used for breeding,6290610,USDA
2002,Hogs and pigs used or to be used for breeding,6174439,USDA
2007,Layers,349772508,USDA
2002,Layers,334435155,USDA
2007,Pullets for laying flock replacement,105876529,USDA
2002,Pullets for laying flock replacement,94882459,USDA
2007,Broilers and other meat type chickens,1602574529,USDA
2002,Broilers and other meat type chickens,1389279047,USDA
2007,Sheep and Lambs,5819163,USDA
2002,Sheep and Lambs,6341799,USDA
1997,Cattle and calves,98989244,USDA
1992,Cattle and calves,96135825,USDA
1997,Cows and heifers that had calved,43162054,USDA
1992,Cows and heifers that had calved,42037794,USDA
1997,Beef cows,34066615,USDA
1992,Beef cows,32545976,USDA
1997,Total hogs and pigs,61206236,USDA
1992,Total hogs and pigs,57563118,USDA
1997,Hogs and pigs used or to be used for breeding,6831564,USDA
1992,Hogs and pigs used or to be used for breeding,6921614,USDA
1997,Layers,366989851,USDA
1997,Layers,351310317,USDA
1997,Pullets for laying flock replacement,51755985,USDA
1992,Pullets for laying flock replacement,44567993,USDA
1997,Broilers and other meat type chickens,1102773431,USDA
1992,Broilers and other meat type chickens,888617180,USDA
1997,Sheep and Lambs,7821885,USDA
1992,Sheep and Lambs,10770391,USDA
1987,Cattle and calves,95847299,USDA
1982,Cattle and calves,104475827,USDA
1987,Cows and heifers that had calved,41737290,USDA
1982,Cows and heifers that had calved,45052497,USDA
1987,Beef cows,31652593,USDA
1982,Beef cows,34202607,USDA
1987,Total hogs and pigs,52271120,USDA
1982,Total hogs and pigs,55366205,USDA
1987,Hogs and pigs used or to be used for breeding,6900268,USDA
1982,Hogs and pigs used or to be used for breeding,6947861,USDA
1987,Layers,373577186,USDA
1982,Layers,362464997,USDA
1987,Pullets for laying flock replacement,316503065,USDA
1982,Pullets for laying flock replacement,310515367,USDA
1987,Broilers and other meat type chickens,766486340,USDA
1982,Broilers and other meat type chickens,621547081,USDA
1987,Sheep and Lambs,11059397,USDA
1982,Sheep and Lambs,12438011,USDA
1978,Cattle and calves,105715399,USDA
1974,Cattle and calves,113174700,USDA
1978,Cows and heifers that had calved,45541672,USDA
1974,Cows and heifers that had calved,51912414,USDA
1978,Beef cows,35186693,USDA
1974,Beef cows,41257898,USDA
1978,Total hogs and pigs,57280069,USDA
1974,Total hogs and pigs,44454275,USDA
1978,Hogs and pigs used or to be used for breeding,8772422,USDA
1978,Layers,359064123,USDA
1974,Layers,335740245,USDA
1978,Pullets for laying flock replacement,304311878,USDA
1974,Pullets for laying flock replacement,285658659,USDA
1978,Broilers and other meat type chickens,645989949,USDA
1974,Broilers and other meat type chickens,508667279,USDA
1978,Sheep and Lambs,12371786,USDA
1974,Sheep and Lambs,15379604,USDA
1969,Cattle and calves,106345741,USDA
1964,Cattle and calves,47341802,USDA
1969,Cows and heifers that had calved,45511356,USDA
1964,Cows and heifers that had calved,47341802,USDA
1969,Beef cows,34337320,USDA
1964,Beef cows,32719198,USDA
1969,Total hogs and pigs,55454828,USDA
1964,Total hogs and pigs,54080194,USDA
1969,Layers,371008459,USDA
1964,Layers,343161807,USDA
1969,Pullets for laying flock replacement,297678713,USDA
1964,Pullets for laying flock replacement,309408859,USDA
1969,Broilers and other meat type chickens,488922788,USDA
1969,Sheep and Lambs,21611074,USDA
1964,Sheep and Lambs,25471500,USDA
