
Statistical table extracted on August 23, 2023 (20:24:11)
http://www.ine.pt



Data reference period (1) ;Geographic localization (Agrarian area);Sheep livestock (No.) by Geographic localization (Agrarian area) and Category (sheep livestock) -  Annual (2) ;;;;;Goat livestock (No.) by Geographic localization (Agrarian area) and Category (goat livestock) -  Annual (2) ;;;;;Equidae livestock (No.) by Geographic localization (Agrarian area) and Category (equidae livestock) -  Annual (2) ;;;
;;Category (sheep livestock);;;;;Category (goat livestock);;;;;Category (equidae livestock);;;
;;Total;Ewes and ewe lambs put to the ram;Milk ewes and milk ewe lambs;Other ewes and ewe lambs put to the ram;Other sheep;Total;Goats and kids which have been mated;Goats;Kids which have been mated;Other goats;Total;Equine;Other equidae;
;;No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);No. (thousands);
2022;PT: Portugal;2269;1629;251;1379;640;352;299;272;27;53;100;90;10;
2021;PT: Portugal;2293;1669;263;1406;625;364;308;279;29;57;98;88;10;
2020;PT: Portugal;2304 *;1677 *;273 *;1405 *;626 *;368 *;313 *;284 *;29 *;56 *;94 *;85 *;9 *;
2019;PT: Portugal;2269 *;1690 *;278 *;1412 *;580 *;372 *;316 *;287 *;29 *;57 *;97 *;87 *;9 *;
2018;PT: Portugal;2208;1638;291;1347;570;393 *;336 *;302 *;34 *;57 *;92 *;82 *;10 *;
2017;PT: Portugal;2225;1665;302;1363;560;403 *;346 *;309 *;37 *;57 *;87 *;77 *;10 *;
2016;PT: Portugal;2249 *;1694 *;312 *;1382 *;554 *;383 *;329 *;296 *;33 *;54 *;77 *;66 *;11 *;
2015;PT: Portugal;2043;1617;318;1299;426;373;316;293;23;57;84 *;74 *;10 *;
2014;PT: Portugal;2033;1607;331;1276;425;382;322;301;20;60;91 *;83 *;9 *;
2013;PT: Portugal;2074;1634;340;1294;439;398;334;313;21;64;92 *;78 *;14 *;
2012;PT: Portugal;2092;1675;347;1328;417;404;343;323;20;61;104 *;88 *;17 *;
2011;PT: Portugal;2170;1740;382;1358;430;413;351;324;26;62;117 *;97 *;19 *;
2010;PT: Portugal;2226;1791;404;1388;435;419;355;322;33;64;117 *;97 *;19 *;
2009;PT: Portugal;2368;1902;424;1478;466;425;354;322;33;71;117 *;97 *;19 *;
2008;PT: Portugal;2558;2051;456;1595;507;433;361;327;33;72;113 *;80 *;33 *;
2007;PT: Portugal;2703;2137;481;1656;566;439;358;323;35;81;117 *;69 *;48 *;
2006;PT: Portugal;2839;2224;513;1710;616;468;377;340;37;90;119 *;64 *;55 *;
2005;PT: Portugal;2903;2315;538;1777;588;475;385;347;37;90;120 *;61 *;59 *;
2004;PT: Portugal;2868;2284;529;1755;584;470;378;341;37;93;121 *;60 *;61 *;
2003;PT: Portugal;2775;2277;523;1754;498;444;376;341;35;68;121 *;59 *;62 *;
2002;PT: Portugal;2812;2257;518;1739;555;470;389;353;37;80;121 *;59 *;62 *;
2001;PT: Portugal;2842;2312;536;1775;530;489;411;372;39;79;116 *;59 *;57 *;
2000;PT: Portugal;3215;2416;547;1869;799;562;452;408;44;110;121 *;59 *;63 *;
1999;PT: Portugal;3584;2439;602;1837;1145;630;457;408;50;172;127;58;69;
1998;PT: Portugal;3590;2376;619;1757;1214;676;472;415;57;204;133;58;75;
1997;PT: Portugal;3432;2350;607;1743;1082;673;488;429;59;185;139;57;82;
1996;PT: Portugal;3486;2376;613;1763;1110;677;494;434;60;183;145;55;90;
1995;PT: Portugal;3482;2377;624;1753;1105;704;511;449;62;193;149;52;97;
1994;PT: Portugal;3475;2376;627;1749;1099;721;522;463;59;199;149;48;101;
1993;PT: Portugal;3345;2263;- -;- -;1082;725;518;- -;- -;207;156;43;113;
1992;PT: Portugal;3359;2271;- -;- -;1088;762;544;- -;- -;218;155;42;113;
1991;PT: Portugal;3381;2270;- -;- -;1111;772;553;- -;- -;219;156;41;115;
1990;PT: Portugal;3359;2231;- -;- -;1128;797;570;- -;- -;227;151;37;115;
1989;PT: Portugal;3347;- -;- -;- -;- -;857;- -;- -;- -;- -;156;36;120;
1988;PT: Portugal;3187;- -;- -;- -;- -;840;- -;- -;- -;- -;146;26;120;
1987;PT: Portugal;3035;- -;- -;- -;- -;808;- -;- -;- -;- -;146;25;120;
1979;PT: Portugal;2106;1513;x x;x x;593;756;549;x x;x x;208;212;30;182;
1972;PT: Portugal;2420;1735;x x;x x;685;741;548;x x;x x;193;295;30;264;
