           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;1320551;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;1173473;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;156578;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;84504;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;165329;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;121290;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;22396;"KALIMANTAN UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;130194;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;431339;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;1443297;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;392479;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;261084;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;115090;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;117407;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;113573;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;66319;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;121210;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2021;Tahun;17977214;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;435376;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2020;Tahun;899571;"SUMATERA UTARA"
